sexo,remuneracao,cnae_secao,cbo_grupo,uf,idade,escolaridade,vinculo
Masculino,1570.62,H,Serviços,SP,59,Pós-graduação,Estatutário
Masculino,2875.3,B,Serviços,SP,58,Pós-graduação,Temporário
Masculino,1588.22,J,Técnico,RJ,34,Superior incompleto,Temporário
Masculino,2195.05,G,Direção,SC,29,Fundamental incompleto,CLT
Feminino,1717.97,I,Técnico,SP,21,Médio completo,Estatutário
Feminino,1763.17,A,Operacional,BA,58,Fundamental completo,CLT
Feminino,1525.65,D,Operacional,RS,31,Médio incompleto,Aprendiz
Feminino,3311.59,G,Operacional,BA,21,Pós-graduação,CLT
Feminino,1300.08,I,Serviços,RS,51,Superior incompleto,CLT
Masculino,1295.82,B,Serviços,RS,35,Fundamental completo,Aprendiz
Feminino,4695.91,B,Direção,RS,30,Pós-graduação,CLT
Masculino,2807.45,F,Administração,GO,27,Fundamental incompleto,CLT
Feminino,618.13,C,Técnico,GO,31,Médio incompleto,Aprendiz
Feminino,1401.97,D,Administração,PE,26,Pós-graduação,Aprendiz
Masculino,799.99,C,Serviços,RJ,60,Pós-graduação,Aprendiz
Masculino,1178.73,A,Técnico,PE,37,Médio completo,CLT
Masculino,440.39,F,Serviços,GO,18,Fundamental completo,Aprendiz
Masculino,1699.95,B,Direção,SP,61,Fundamental completo,Estatutário
Feminino,1081.52,B,Técnico,BA,46,Médio completo,CLT
Feminino,1857.45,G,Serviços,BA,34,Superior completo,Aprendiz
Masculino,870.18,E,Operacional,SC,25,Superior completo,CLT
Masculino,1876.78,H,Operacional,RS,34,Médio completo,Estatutário
Masculino,1500.1,B,Serviços,PR,38,Pós-graduação,Aprendiz
Masculino,3554.18,J,Administração,SP,42,Fundamental completo,Aprendiz
Masculino,3412.19,H,Direção,RJ,37,Fundamental incompleto,Temporário
Masculino,2574.49,G,Direção,GO,42,Superior incompleto,Estatutário
Feminino,1560.91,J,Serviços,BA,38,Fundamental incompleto,Estatutário
Masculino,4417.91,H,Direção,RJ,30,Fundamental incompleto,Temporário
Masculino,898.87,C,Técnico,PE,30,Superior incompleto,Estatutário
Feminino,961.41,H,Direção,BA,64,Fundamental incompleto,Aprendiz
Masculino,1741.14,F,Operacional,GO,47,Médio incompleto,Temporário
Feminino,4985.64,B,Serviços,PE,30,Médio completo,CLT
Feminino,1650.69,F,Técnico,RS,57,Fundamental completo,Aprendiz
Masculino,1664.93,E,Direção,SP,24,Superior incompleto,Estatutário
Masculino,944.96,C,Operacional,BA,59,Fundamental incompleto,Temporário
Masculino,2767.41,A,Administração,SP,29,Fundamental completo,CLT
Masculino,2776.45,G,Direção,BA,19,Superior completo,Temporário
Masculino,2578.81,B,Operacional,DF,31,Médio incompleto,Aprendiz
Feminino,1362.19,A,Operacional,PR,59,Fundamental incompleto,Aprendiz
Masculino,1315.51,A,Operacional,RJ,34,Fundamental incompleto,Temporário
Masculino,1010.39,G,Operacional,SP,30,Fundamental incompleto,Temporário
Masculino,1877.59,A,Administração,PE,18,Médio incompleto,Estatutário
Feminino,1111.89,I,Serviços,RS,64,Médio completo,Aprendiz
Masculino,1064.4,F,Operacional,PE,18,Fundamental completo,CLT
Masculino,1494.19,D,Serviços,RJ,64,Pós-graduação,Temporário
Masculino,1450.81,D,Administração,MG,43,Pós-graduação,CLT
Feminino,1419.29,E,Administração,MG,64,Fundamental incompleto,Temporário
Masculino,2230.32,B,Técnico,RS,63,Superior completo,Aprendiz
Feminino,1873.51,E,Técnico,DF,30,Fundamental incompleto,Temporário
Feminino,1588.16,B,Operacional,DF,51,Médio incompleto,Estatutário
Masculino,1963.25,D,Serviços,PR,57,Médio incompleto,CLT
Feminino,1157.26,J,Administração,BA,26,Fundamental completo,Temporário
Masculino,1895.76,E,Direção,DF,36,Fundamental completo,Aprendiz
Feminino,1934.82,F,Técnico,SP,40,Superior completo,Temporário
Feminino,919.32,F,Técnico,RJ,58,Fundamental incompleto,CLT
Masculino,2830.09,I,Direção,SC,45,Pós-graduação,Aprendiz
Masculino,1216.04,D,Serviços,MG,47,Superior completo,Temporário
Feminino,1883.03,E,Serviços,BA,24,Superior completo,Estatutário
Masculino,3053.32,F,Serviços,PR,31,Superior completo,Estatutário
Masculino,2742.31,D,Operacional,GO,19,Fundamental incompleto,Estatutário
Masculino,1836.19,F,Operacional,PE,29,Fundamental incompleto,Aprendiz
Feminino,1535.91,B,Direção,SP,60,Fundamental incompleto,Temporário
Feminino,2769.38,G,Administração,DF,19,Fundamental incompleto,Aprendiz
Masculino,2449.44,C,Direção,GO,45,Superior completo,Estatutário
Masculino,1368.86,J,Administração,SC,45,Médio incompleto,Aprendiz
Masculino,1264.33,D,Direção,PR,29,Pós-graduação,Temporário
Feminino,711.55,I,Operacional,PE,47,Médio completo,Estatutário
Masculino,1937.81,E,Serviços,RS,64,Fundamental completo,Aprendiz
Feminino,1741.99,I,Técnico,DF,57,Médio incompleto,CLT
Masculino,3014.79,J,Direção,PR,57,Superior incompleto,Estatutário
Feminino,2125.1,J,Direção,SP,39,Superior incompleto,CLT
Masculino,3295.8,J,Técnico,PE,35,Superior incompleto,Estatutário
Masculino,1321.06,J,Direção,DF,31,Fundamental completo,Temporário
Masculino,3017.45,F,Serviços,PR,42,Fundamental incompleto,Aprendiz
Feminino,1425.09,H,Técnico,PR,27,Superior incompleto,CLT
Feminino,2565.52,E,Técnico,SC,53,Superior incompleto,CLT
Masculino,937.82,E,Serviços,DF,26,Médio completo,Aprendiz
Feminino,2009.84,C,Serviços,PR,28,Médio incompleto,Temporário
Feminino,740.18,G,Técnico,RJ,44,Superior completo,CLT
Feminino,1603.25,B,Serviços,MG,30,Fundamental completo,Aprendiz
Masculino,2204.29,C,Serviços,GO,18,Fundamental completo,CLT
Masculino,1430.19,B,Serviços,MG,56,Médio completo,Temporário
Masculino,1126.99,H,Técnico,DF,28,Pós-graduação,CLT
Feminino,2645.86,D,Direção,PE,20,Superior incompleto,CLT
Feminino,1725.79,J,Administração,SC,19,Superior completo,Temporário
Feminino,1450.54,H,Técnico,PR,63,Superior completo,CLT
Masculino,1842.45,H,Administração,GO,59,Médio completo,Aprendiz
Masculino,5922.42,H,Serviços,RJ,41,Fundamental incompleto,Temporário
Feminino,3038.37,H,Serviços,DF,37,Superior incompleto,CLT
Feminino,3050.8,H,Direção,GO,57,Pós-graduação,Temporário
Feminino,2199.52,I,Serviços,PE,32,Superior completo,Estatutário
Feminino,1948.7,B,Administração,PR,23,Fundamental completo,Aprendiz
Feminino,615.09,I,Técnico,SC,37,Superior completo,CLT
Masculino,1332.03,H,Técnico,DF,39,Médio incompleto,Aprendiz
Masculino,1456.43,J,Direção,SP,19,Médio completo,CLT
Feminino,777.67,A,Administração,RS,32,Superior completo,Estatutário
Feminino,1074.02,E,Serviços,PR,51,Superior completo,Estatutário
Masculino,741.46,B,Operacional,DF,63,Superior completo,Aprendiz
Masculino,1777.13,J,Direção,PR,48,Pós-graduação,Aprendiz
Feminino,2613.5,E,Direção,PR,47,Médio completo,Temporário
Masculino,2975.15,H,Operacional,MG,45,Fundamental completo,CLT
Masculino,2179.07,I,Técnico,PE,50,Superior completo,CLT
Masculino,1172.01,I,Técnico,BA,58,Pós-graduação,Aprendiz
Feminino,757.91,A,Técnico,PE,38,Superior completo,Temporário
Feminino,820.09,G,Operacional,RS,63,Superior incompleto,Estatutário
Masculino,1021.43,H,Serviços,PE,40,Pós-graduação,CLT
Feminino,1211.98,J,Serviços,GO,59,Superior incompleto,Estatutário
Masculino,1682.63,C,Administração,RS,30,Superior incompleto,Temporário
Masculino,1145.53,F,Administração,SP,62,Superior completo,CLT
Feminino,2105.99,C,Técnico,RS,43,Superior completo,Temporário
Feminino,1628.6,I,Operacional,PR,36,Superior completo,Temporário
Feminino,1816.64,C,Direção,GO,44,Médio incompleto,CLT
Feminino,3020.3,B,Serviços,PE,57,Pós-graduação,Estatutário
Feminino,1063.05,I,Operacional,GO,24,Médio incompleto,Estatutário
Masculino,2182.92,H,Administração,SC,42,Superior incompleto,Temporário
Masculino,1796.71,H,Serviços,GO,57,Médio incompleto,Aprendiz
Masculino,1556.09,B,Serviços,PR,53,Médio completo,Temporário
Masculino,2692.88,F,Operacional,MG,24,Pós-graduação,Estatutário
Feminino,2685.32,E,Administração,RS,37,Superior completo,Temporário
Masculino,1180.96,B,Operacional,SC,41,Superior incompleto,Temporário
Feminino,1665.74,E,Direção,SC,45,Médio incompleto,CLT
Feminino,2051.95,D,Serviços,SC,22,Superior completo,Temporário
Feminino,1599.02,I,Operacional,RJ,53,Superior completo,Aprendiz
Masculino,2352.56,A,Operacional,PE,48,Médio completo,Aprendiz
Feminino,2051.93,F,Direção,PE,50,Médio completo,Aprendiz
Masculino,4124.3,G,Operacional,SC,41,Médio incompleto,Aprendiz
Masculino,908.12,F,Serviços,RS,27,Superior incompleto,Temporário
Feminino,1711.12,E,Técnico,RJ,55,Superior incompleto,Aprendiz
Masculino,1201.32,D,Técnico,SC,61,Pós-graduação,Aprendiz
Masculino,2372.85,E,Administração,SC,22,Médio incompleto,CLT
Feminino,873.29,I,Direção,GO,48,Médio incompleto,Estatutário
Masculino,2112.95,E,Administração,MG,26,Fundamental incompleto,CLT
Feminino,1361.69,J,Técnico,RJ,49,Médio completo,Aprendiz
Feminino,1299.36,H,Direção,RS,58,Superior incompleto,Estatutário
Feminino,943.01,G,Operacional,PE,22,Fundamental completo,CLT
Masculino,1466.62,D,Operacional,PR,44,Médio completo,Temporário
Masculino,2945.47,J,Serviços,MG,45,Superior completo,Estatutário
Feminino,1787.66,E,Técnico,PR,60,Superior incompleto,CLT
Masculino,2398.16,G,Operacional,DF,29,Superior completo,CLT
Feminino,3824.14,F,Direção,PE,22,Fundamental incompleto,Aprendiz
Feminino,2035.89,C,Operacional,GO,25,Médio completo,Estatutário
Feminino,1406.05,J,Administração,BA,34,Médio completo,Aprendiz
Masculino,2231.13,C,Administração,RS,25,Superior completo,Estatutário
Masculino,1415.26,B,Administração,RJ,51,Pós-graduação,Aprendiz
Feminino,1440.88,C,Administração,DF,40,Superior incompleto,Estatutário
Masculino,912.37,J,Administração,MG,35,Fundamental completo,Estatutário
Masculino,2743.02,A,Serviços,SC,27,Médio incompleto,CLT
Feminino,1519.75,I,Administração,BA,56,Fundamental completo,Aprendiz
Feminino,1962.44,B,Serviços,MG,58,Superior completo,Estatutário
Feminino,1134.35,C,Serviços,MG,61,Pós-graduação,Estatutário
Feminino,2199.92,E,Operacional,MG,61,Pós-graduação,Estatutário
Masculino,1283.22,J,Direção,MG,22,Fundamental incompleto,Temporário
Feminino,1696.34,D,Administração,MG,60,Médio completo,Estatutário
Feminino,2683.89,E,Direção,BA,34,Superior completo,Temporário
Masculino,2580.77,F,Técnico,PR,64,Pós-graduação,Estatutário
Masculino,1790.21,E,Serviços,RS,28,Superior completo,Estatutário
Feminino,815.94,J,Técnico,SC,64,Pós-graduação,CLT
Feminino,6951.86,A,Serviços,PE,36,Superior incompleto,CLT
Feminino,3966.49,F,Administração,RJ,38,Médio completo,CLT
Feminino,2502.9,I,Técnico,MG,61,Médio incompleto,CLT
Masculino,1288.27,C,Operacional,RJ,20,Fundamental completo,Aprendiz
Masculino,1717.94,B,Técnico,BA,57,Fundamental completo,Estatutário
Feminino,1415.82,F,Serviços,RJ,60,Fundamental incompleto,Temporário
Feminino,3193.06,C,Serviços,PR,18,Superior incompleto,Estatutário
Feminino,2034.75,D,Direção,GO,41,Médio incompleto,Estatutário
Feminino,1270.45,F,Técnico,DF,53,Pós-graduação,Estatutário
Masculino,1462.88,F,Operacional,PE,23,Superior completo,CLT
Masculino,2994.51,B,Administração,PE,27,Médio incompleto,Estatutário
Feminino,3714.67,C,Direção,MG,64,Superior incompleto,Estatutário
Feminino,3596.62,I,Técnico,SP,57,Pós-graduação,Aprendiz
Feminino,2541.89,B,Direção,RJ,63,Fundamental incompleto,Aprendiz
Feminino,1613.75,C,Técnico,BA,51,Superior completo,Temporário
Feminino,420.45,I,Administração,RS,41,Médio incompleto,Aprendiz
Masculino,2066.73,D,Administração,GO,40,Fundamental incompleto,CLT
Masculino,1806.56,A,Operacional,PR,37,Pós-graduação,Aprendiz
Masculino,1925.6,B,Direção,SP,55,Superior incompleto,Temporário
Feminino,1852.43,C,Operacional,RJ,52,Superior incompleto,Temporário
Masculino,995.44,I,Técnico,DF,51,Superior incompleto,Aprendiz
Masculino,2323.51,I,Administração,SC,63,Médio incompleto,Estatutário
Masculino,2403.06,F,Administração,BA,64,Superior incompleto,Temporário
Masculino,2457.88,F,Serviços,PR,53,Médio incompleto,Aprendiz
Feminino,2768.22,C,Serviços,DF,33,Fundamental incompleto,Aprendiz
Masculino,2372.79,E,Operacional,GO,40,Médio completo,Aprendiz
Masculino,1503.4,D,Direção,PR,61,Fundamental incompleto,Temporário
Feminino,1751.32,J,Técnico,SC,18,Pós-graduação,Estatutário
Masculino,1883.72,J,Operacional,GO,26,Médio incompleto,CLT
Masculino,1897.83,I,Administração,DF,29,Pós-graduação,Aprendiz
Masculino,2833.3,I,Administração,PR,54,Fundamental completo,Estatutário
Feminino,2415.47,A,Administração,RS,34,Fundamental completo,CLT
Masculino,4604.57,H,Técnico,PR,20,Superior completo,Aprendiz
Feminino,4880.05,I,Operacional,PR,55,Médio completo,Temporário
Masculino,1874.02,E,Técnico,PR,46,Superior incompleto,CLT
Masculino,321.66,D,Administração,SP,48,Fundamental incompleto,Estatutário
Masculino,3154.47,J,Serviços,PR,52,Fundamental incompleto,CLT
Masculino,1417.76,D,Operacional,PR,55,Médio incompleto,Estatutário
Feminino,1260.59,B,Serviços,SP,43,Superior completo,Estatutário
Feminino,1511.26,I,Operacional,RS,30,Médio completo,Estatutário
Feminino,1478.84,E,Administração,PE,36,Superior incompleto,Aprendiz
Masculino,2381.58,C,Serviços,RS,49,Médio completo,CLT
Masculino,896.28,F,Serviços,BA,64,Pós-graduação,Temporário
Feminino,1113.24,I,Operacional,SC,44,Fundamental completo,Aprendiz
Masculino,2109.95,I,Serviços,PR,56,Superior completo,Temporário
Masculino,2393.05,E,Serviços,DF,30,Médio completo,Temporário
Masculino,2413.16,H,Administração,PE,51,Pós-graduação,CLT
Masculino,1268.81,D,Operacional,PR,36,Superior incompleto,Aprendiz
Feminino,1164.19,E,Operacional,GO,36,Superior completo,CLT
Feminino,1439.45,G,Direção,BA,20,Superior incompleto,Aprendiz
Feminino,2014.13,G,Operacional,DF,20,Fundamental incompleto,Aprendiz
Masculino,3527.92,G,Administração,BA,43,Fundamental incompleto,CLT
Masculino,719.57,H,Serviços,MG,23,Superior incompleto,Aprendiz
Masculino,1637.08,E,Direção,GO,30,Fundamental incompleto,CLT
Masculino,992.57,A,Serviços,PR,63,Fundamental incompleto,Estatutário
Masculino,859.62,I,Operacional,DF,55,Fundamental incompleto,Estatutário
Feminino,2793.72,I,Técnico,DF,44,Pós-graduação,Temporário
Feminino,2310.18,G,Serviços,PE,58,Superior incompleto,CLT
Masculino,2213.31,F,Operacional,SC,41,Fundamental incompleto,Temporário
Feminino,2736.57,E,Administração,BA,27,Fundamental completo,Aprendiz
Feminino,1456.99,E,Operacional,BA,33,Superior completo,Estatutário
Feminino,1488.19,C,Direção,SP,40,Superior incompleto,CLT
Feminino,4834.72,J,Técnico,PE,64,Médio completo,Temporário
Masculino,1618.16,A,Técnico,SC,29,Superior completo,Aprendiz
Masculino,2516.97,F,Técnico,BA,45,Pós-graduação,Aprendiz
Masculino,1813.24,H,Administração,GO,30,Pós-graduação,CLT
Feminino,787.04,B,Técnico,GO,35,Médio incompleto,Aprendiz
Masculino,720.48,H,Serviços,RJ,19,Superior completo,Temporário
Masculino,1393.34,H,Administração,BA,63,Pós-graduação,CLT
Masculino,2908.07,J,Operacional,PE,34,Médio incompleto,Temporário
Masculino,2577.9,H,Direção,PR,40,Fundamental completo,CLT
Feminino,2728.03,J,Administração,SP,40,Superior incompleto,Temporário
Feminino,1159.6,C,Direção,SC,18,Médio completo,Aprendiz
Masculino,3741.13,J,Administração,MG,60,Superior incompleto,Estatutário
Masculino,1171.22,H,Operacional,PR,31,Médio completo,Aprendiz
Masculino,1989.76,D,Direção,DF,29,Médio completo,Aprendiz
Masculino,1799.64,C,Administração,BA,31,Superior incompleto,Temporário
Masculino,1671.97,I,Direção,PE,61,Superior completo,Temporário
Masculino,3302.27,H,Técnico,SC,55,Fundamental incompleto,Estatutário
Masculino,1316.46,J,Técnico,DF,58,Médio incompleto,Estatutário
Feminino,985.04,B,Técnico,MG,61,Fundamental incompleto,Temporário
Feminino,1824.38,H,Serviços,SP,33,Médio incompleto,Aprendiz
Masculino,1510.32,C,Técnico,GO,51,Fundamental incompleto,CLT
Masculino,8265.31,J,Técnico,RS,35,Superior incompleto,Estatutário
Feminino,2451.43,F,Operacional,PE,27,Superior incompleto,Aprendiz
Masculino,1503.87,E,Direção,SC,36,Médio completo,CLT
Feminino,1124.11,H,Direção,BA,47,Fundamental completo,Aprendiz
Feminino,775.78,I,Técnico,DF,21,Superior incompleto,Estatutário
Masculino,1139.85,G,Direção,RJ,24,Médio incompleto,Temporário
Masculino,1904.02,F,Administração,BA,33,Médio completo,Temporário
Feminino,3436.81,F,Técnico,RS,54,Médio incompleto,Estatutário
Masculino,2995.18,A,Técnico,BA,22,Fundamental incompleto,Temporário
Feminino,2004.39,E,Serviços,PE,56,Fundamental completo,CLT
Feminino,1563.33,H,Administração,RJ,50,Superior incompleto,Aprendiz
Feminino,2040.53,F,Técnico,BA,52,Fundamental incompleto,Temporário
Masculino,1431.69,A,Técnico,PE,51,Médio completo,Temporário
Feminino,3917.71,E,Direção,SP,50,Médio incompleto,Temporário
Masculino,1660.48,E,Técnico,GO,56,Superior completo,Estatutário
Masculino,1739.14,C,Técnico,PR,27,Pós-graduação,Estatutário
Feminino,667.06,H,Técnico,DF,20,Fundamental completo,Temporário
Masculino,1655.82,I,Técnico,RJ,46,Superior incompleto,Estatutário
Feminino,2634.42,F,Serviços,SC,52,Médio incompleto,Aprendiz
Feminino,1118.26,F,Administração,RJ,48,Superior incompleto,CLT
Masculino,1289.71,B,Serviços,MG,56,Superior incompleto,Aprendiz
Masculino,2583.03,J,Direção,SC,32,Médio incompleto,Aprendiz
Masculino,930.3,B,Operacional,PR,18,Superior incompleto,CLT
Masculino,2910.3,F,Técnico,RS,36,Médio completo,CLT
Masculino,1423.02,H,Direção,BA,54,Fundamental completo,Aprendiz
Feminino,1517.99,B,Operacional,MG,44,Fundamental incompleto,CLT
Masculino,1090.35,I,Técnico,GO,38,Fundamental completo,Aprendiz
Masculino,2143.34,I,Técnico,BA,24,Fundamental incompleto,Temporário
Feminino,5469.5,D,Operacional,DF,60,Médio completo,Estatutário
Masculino,2570.03,D,Serviços,RJ,50,Fundamental completo,CLT
Feminino,1225.46,D,Operacional,PR,19,Médio completo,Temporário
Masculino,3014.02,E,Operacional,SP,31,Médio incompleto,CLT
Masculino,1567.9,H,Administração,BA,59,Fundamental incompleto,Estatutário
Feminino,3356.04,B,Técnico,RJ,20,Médio incompleto,Estatutário
Feminino,2599.32,E,Técnico,PR,31,Médio incompleto,Estatutário
Feminino,480.86,B,Serviços,SP,22,Fundamental completo,CLT
Feminino,1150.74,H,Serviços,SP,34,Superior incompleto,Aprendiz
Feminino,2765.49,A,Administração,RS,56,Pós-graduação,CLT
Masculino,1935.74,G,Administração,BA,18,Superior incompleto,CLT
Masculino,1140.6,C,Administração,BA,60,Médio completo,Temporário
Feminino,1359.52,D,Serviços,PE,45,Fundamental completo,Temporário
Feminino,766.78,H,Operacional,DF,55,Médio incompleto,Aprendiz
Feminino,1737.55,C,Técnico,RS,31,Superior completo,Estatutário
Masculino,4889.33,G,Técnico,RJ,34,Médio completo,Estatutário
Masculino,2597.28,A,Direção,GO,32,Médio incompleto,CLT
Feminino,4844.93,I,Serviços,GO,63,Médio completo,Estatutário
Masculino,2689.41,F,Serviços,MG,24,Superior completo,Aprendiz
Feminino,2870.86,C,Administração,DF,59,Fundamental incompleto,Estatutário
Feminino,4395.49,G,Direção,PE,24,Médio completo,Temporário
Masculino,2142.59,E,Direção,SC,64,Médio completo,Estatutário
Feminino,1661.95,H,Serviços,MG,41,Médio incompleto,CLT
